country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq
,,,,7.,"SORAL DE KERZEL(FR), 6 val","66,0",Dylan Salmon,2,,3,,
,2019,Výsledky ze dne 30.12.2019 - Deauville (Francie),"2604 PRIX DE LA BOURDONNIERE
Rovina - - 1300 m, cena, 4letí a starší
15.000 EUR (7500 - 3000 - 2250 - 1500 - 750)
Zápisné: 0 + 0 EUR",Z,"STARMAN(FR), 5 val","68,0",Pauline Dominois,,,1,Váňa ml. Josef,
,,,,1.,"NINE OU FOUR(IRE), 8 hř","56,0",Frank Panicucci,LEHCE,,9,Luka Václav,
,,,,2.,"GAETANO DONIZETTI(IRE), 6 hř","58,0",Marc Nobili,3,,5,,
,,,,3.,"LIGHTOLLER(IRE), 5 val","59,5",Benjamin Hubert,3/4,,1,,
,,,,4.,"CLOUD EIGHT(IRE), 4 val","59,5",Richard Juteau,krk,,2,,
,,,"2605 PRIX DE BALME
Rovina - - 1900 m, cena, 4letí a starší
18.000 EUR (9000 - 3600 - 2700 - 1800 - 900)
Zápisné: 0 + 0 EUR",5.,"UCEL(IRE), 5 hř","56,0",Stephane Laurent,1/2,,8,,
,,,,1.,"ALLEZ HENRI(IRE), 8 hř","56,5",Sibylle Vogt,BOJ,,5,,
,,,,2.,"MAGNENTIUS(FR), 6 val","53,0",Lea Bails,hlava,,11,,
,,,,3.,"TRES BELAFFAIR(FR), 5 val","54,0",Maxmilien Justum,hlava,,7,,
,,,,4.,"MEHZAM(FR), 5 val","59,0",ž. Aurelien Lemaitre,1,,2,,
,,,,5.,"SKATERS WALTZ(IRE), 8 val","57,5",ž. Antoine Hamelin,krk,,6,,
,2018,Výsledky ze dne 26.12.2018 - Dortmund (Německo),"2690 Preis von Wettstar
Rovina E - 1200 m, handicap, 3letí a starší
6.000 EUR (3000 - 1200 - 900 - 600 - 300)
Zápisné: 0 + 0 EUR",10.,"VEAKALTO(IRE), 7 val","56,0",Antoine Coutier,,,12,Luka Václav,
,,,,1.,"ZEBSPEAR(IRE), 4","58,0",ž. André Best,LEHCE,,5,,
,,,,2.,"SALDINSKA(GER), 5 kl","60,0",Alexander Pietsch,4,,3,,
,,,,3.,"LADY CRISTAL(IRE), 4","56,0",ž. Jozef Bojko,3,,8,,
,,,,4.,"NAVALIS(GER), 3","59,5",Gijs Snijders,1 1/4,,1,,
,,,,5.,"NASHIK(GER), 5 val","58,5",Lukas Delozier,1 1/2,,4,,
,,,"2691 Auf Wiedersehen am 6. Januar-Rennen
Rovina E - 1950 m, cena, 4letí a starší
4.000 EUR (2000 - 800 - 600 - 400 - 200)
Zápisné: 0 + 0 EUR",8.,"IRAKLIN(IRE), 8 val","57,5",ž. Jaromír Šafář,,,6,Neuberg Filip,
,,,,1.,"SAN DIEGO(GER), 4 hř","57,0",Sibylle Vogt,LEHCE,,4,,
,,,,2.,"PANORAMICA(GB), 4 kl","55,5",Alexander Pietsch,1,,5,,
,,,,3.,"ZALETTA(GER), 4","55,0",ž. André Best,11,,8,,
,,,,4.,"ELOUISE(GER), 5","55,5",ž. Jose Luis Silverio,daleko,,6,,
,,,,5.,"PORTE DU PARADIS(FR), 5","55,0",am. Esther Ruth Weissmeier,4 3/4,,7,,
,2017,Výsledky ze dne 16.12.2017 - Deauville (Francie),"2723 PRIX DE ROIVILLE
Rovina - - 1500 m, cena, 3letí
24.000 EUR (12000 - 4800 - 3600 - 2400 - 1200)
Zápisné: 0 + 0 EUR",6.,"ANDAROS(GER*), 6 val","57,0",Tommaso Scardino,9,,3,Faltejsek st. Jan,
,,,,1.,"RIP THE TOP(IRE), 3","52,5",Mickaelle Michel,TUHÝ BOJ,,6,,
,,,,2.,"ON THE SEA(GB), 3 hř","56,0",am. Alison Massin,hlava,,4,,
,,,,3.,"FRESCO(IRE), 3 val","53,5",Ambre Molins,2 1/2,,7,,
,,,,4.,"DO IT IN RIO(FR), 3","56,5",Delphine Santiago,kr.hlava,,1,,
,,,,5.,"BEIJING EIGHT(GER), 3","52,0",Coralie Pacaut,hlava,,10,,
,,,"2724 PRIX DE BREUIL
Rovina E - 1300 m, cena, 4letí a starší
24.000 EUR (12000 - 4800 - 3600 - 2400 - 1200)
Zápisné: 0 + 0 EUR",8.,"FUROUS(FR), 3 val","56,0",Pauline Dominois,,,8,Albrecht Jürgen,
,,,,1.,"DIAMANT DE VATI(FR), 6 hř","53,5",Maixent Remy,BOJ,,9,,
,,,,2.,"MAMBO WAY(FR), 7 hř","56,0",Gregory Benoist,krk,,8,,
,,,,3.,"JACK MUSCOLO(USA), 7 val","56,0",Fabien Lefebvre,krk,,7,,
,,,,4.,"DES ANNEES FOLLES(FR), 4 kl","56,5",Anthony Crastus,1/2,,6,,
,,,,5.,"KITKARMA(FR), 4 kl","56,5",Coralie Pacaut,hlava,,3,,
,2016,Výsledky ze dne 29.12.2016 - Pisa (Itálie),"2611 PREMIO GIUSEPPE CHIODINI
Proutky - - 3500 m, handicap, 4letí a starší
12.000 EUR (5100 - 2040 - 1020 - 612 - 408)
Zápisné: 0 + 0 EUR",11.,"KOOL AND THE GANG(IRE), 7 val","58,0",ž. Ioritz Mendizabal,,,5,Albrecht Jürgen,
,,,,1.,"ROMAN(FR), 4 val","68,5",ž. Josef Váňa ml.,LEHCE,,2,Váňa st. Josef,
,,,,2.,"ACHEN(ITY), 10 val","66,0",Davide Columbu,6,,8,,
,,,,3.,"BIG MAGO(IRE), 6 val","72,5",ž. Jan Kratochvíl,1/2,,1,Váňa st. Josef,
,,,,4.,"COUNTERPROOF(IRE), 4 hř","63,0",Dominik Pastuszka,3 1/4,,9,,
,,,"2612 PREMIO ILAI PICCHI
Steeplechase - - 3500 m, cena, 4letí a starší
12.000 EUR (5100 - 2040 - 1020 - 612 - 408)
Zápisné: 0 + 0 EUR",5.,"SCOCOSITA(ITY), 4 kl","68,0",Alessio Pollioni,1/2,,4,,
,,,,1.,"BROUGHTON(GER), 6 val","68,0",ž. Josef Váňa ml.,LEHCE,,3,Váňa st. Josef,
,,,,2.,"MIGHTY MAMBO(GB), 9 val","68,0",ž. Josef Bartoš,4 1/2,,6,,
,,,,3.,"HURRICANE MIX(FR), 5 val","69,0",ž. Raffaele Romano,4 3/4,,5,,
,,,,4.,"GRAND LINK(GB), 5 hř","68,0",Davide Columbu,5,,4,,
,,,,5.,"ALBINA(IRE), 6 kl","69,0",John Paul Brennan,1 1/2,,1,,
,2015,Výsledky ze dne 21.12.2015 - Deauville (Francie),"2402 PRIX DE ROCQUES
Rovina - - 2500 m, cena, 4letí a starší
21.000 EUR (10500 - 4200 - 3150 - 2100 - 1050)
Zápisné: 0 + 0 EUR",8.,"BILLY SILVER(FR), 7 val","68,0",ž. Jan Kratochvíl,,,2,Váňa st. Josef,
,,,,1.,"QUIXOTE(GER), 5 hř","60,0",Ronan Thomas,LEHCE,,1,,
,,,,2.,"GLORIOSO(GER), 5 hř","60,0",ž. Theo Bachelot,2 1/2,,2,Luka Václav,
,,,,3.,"MUHTAKER(GB), 8 val","57,0",Alexis Achard,2,,7,,
,,,,4.,"VICTORIOUS CHAMP(FR), 4","60,0",Anthony Crastus,1 1/2,,3,,
,,,,5.,"SELF INDULGENCE(FR), 4","55,5",Franck Blondel,1 1/2,,10,,
,,,"2403 PRIX DE FOLLEVILLE
Rovina - - 2500 m, cena, 3letí
20.000 EUR (10000 - 4000 - 3000 - 2000 - 1000)
Zápisné: 0 + 0 EUR",6.,"TALAR(GB), 5 val","54,5",Pierre Bazire,1 1/4,,6,Luka Václav,
,,,,1.,"EPONYME(IRE), 3","56,5",ž. Jeremy Crocquevielle,LEHCE,,4,,
,,,,2.,"LE CASTELOT(FR), 3 val","57,5",Frank Panicucci,1 3/4,,3,,
,,,,3.,"NEW WHITE(FR), 3","56,0",Johan Victoire,nos,,15,,
,,,,4.,"TURTLE BEACH(FR), 3 kl","57,5",Yohann Bourgois,1,,2,,
,,,,5.,"VATOHIO(FR), 3","56,0",Matthias Lauron,1 1/4,,7,,
,2014,Výsledky ze dne 26.12.2014 - Deauville (Francie),"2458 PRIX DE MEDAVY
Rovina - - 1500 m, handicap, 4letí a starší
40.000 EUR (20000 - 8000 - 6000 - 4000 - 2000)
Zápisné: 0 + 0 EUR",12.,"SNEZENKA(IRE), 3 kl","56,0",Stéphane Breux,,,8,Luka Václav,
,,,,1.,"PHU HAI(FR), 5 val","56,5",ž. Theo Bachelot,BOJ,,5,Luka Václav,
,,,,2.,"ZACK TIGER(IRE), 5 hř","53,0",Aurelien Lemaitre,hlava,,15,,
,,,,3.,"SARGASSES(FR), 8 kl","54,0",Maxime Guyon,3,,12,,
,,,,4.,"ARTPLACE(IRE), 4","58,5",Delphine Santiago,hlava,,3,,
,,,"2459 PRIX DE MEHERAN
Rovina - - 1500 m, handicap, 4letí a starší
24.000 EUR (12000 - 4800 - 3600 - 2400 - 1200)
Zápisné: 0 + 0 EUR",5.,"JO DE VATI(FR), 4","53,0",Antoine Coutier,krk,,14,,
,,,,1.,"MOONLIGHT GAMBLER(FR), 5 hř","57,5",Christian Hanotel,LEHCE,,10,,
,,,,2.,"BARZINI(GER), 7 val","53,0",Ronan Thomas,2 1/2,,16,,
,,,,3.,"LUMINOUS MIND(USA), 6","59,0",Alexis Badel,krk,,4,,
,,,,4.,"EARLY OUEST(FR), 4 val","53,5",Ludovic Boisseau,krk,,14,,
