country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,5.,"GHAN(IRE), 3 hř","57,0",ž. Adam Florian,1,,1,Mihalík Marcel,90,,,,,,,,,,,
,,,,6.,"HERMION(IRE), 3 kl","57,5",ž. Stanislav Georgjev,5,,5,Csontos Pál,14,,,,,,,,,,,
,,,"7016 Cena Fiorhead
Rovina IV.kat. - 1700 m, cena, 4letí a starší
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",7.,"MOIRA(IRE), 3 kl","54,0","am. Tereza Grbavčicová, Mgr.",daleko,,6,Berthier Kateřina,206,,,,,,,,,,,
,,,,1.,"RÉGI CSIBÉSZ(FR), 5 hř","57,5",ž. Stanislav Georgjev,JISTĚ,,5,Csontos Pál,66,,,,,,,,,,,
,,,,2.,"ROSARIUS, 4 hř","59,5",ž. Jaroslav Línek,1/2,,13,Ralbovský Jozef,40,,,,,,,,,,,
,,,,3.,"ROMINA(SVK), 4 kl","57,5",ž. Jiří Palík,hlava,,10,Štangel Marián,86,,,,,,,,,,,
,,,,4.,"KAZAMIR(FR), 4 val","58,0",ž. Monir Madihi,1 3/4,,8,Hanáček Jaroslav,733,,,,,,,,,,,
,,,,5.,"WESTMINSTER QUEEN(FR), 4 kl","53,0",Sofie Kvízová,1/2,,9,Holčák Radek,61,,,,,,,,,,,
,,,,6.,"ADRIANO(FR), 6 hř","59,0",ž. Róbert Šara,3/4,,3,Brečka Jaroslav,127,,,,,,,,,,,
,,,,7.,"FLY AHEAD(FR), 4 hř","58,0",ž. David Liška,kr.hlava,,2,Záhorová Eva,209,,,,,,,,,,,
,,,,8.,"PALMYRA, 5 kl","58,0",ž. Adam Florian,1 1/4,,11,Berthier Kateřina,88,,,,,,,,,,,
,,,,9.,"BOHEMIAN RAPSODY(IRE), 5 kl","57,5",ž. Martin Laube,2 1/4,,6,Demo Michal,133,,,,,,,,,,,
,,,,10.,"GALADRIELA(GB), 4 kl","57,5",Silvie Ševčíková,2 1/4,,12,Štangel Marián,266,,,,,,,,,,,
,,,,11.,"VALTTERI(GER), 4 hř","54,5",žk. Tomáš Roman,7,,7,Hribar Primož,53,,,,,,,,,,,
,,,,12.,"BODYMAN(FR), 4 hř","58,0",ž. Milan Zatloukal,4 1/4,,1,Bodlák Radim,266,,,,,,,,,,,
,,,,13.,"NOW OR NEVER(GER), 5 kl","51,0",am. Nikola Miklová,12,,4,Kantek ml. Miroslav,62,Výsledky ze dne 06.04.2024 - Bratislava (Slovensko),"7001 Hendikep Master Copyho
Rovina III.kat. - 1400 m, handicap, 4letí a starší
3.000 EUR (1350 - 660 - 420 - 270 - 180 - 120)
Zápisné: 0 + 0 EUR",1.,"GRAY TOUCH(FR), 10 hř","55,5",Ferdinand Kráner,BOJ,,3,Chodúr Jozef,63
,,,,,,,,,,,,,,,2.,"CALAH(IRE), 4 hř","60,5",ž. Petr Foret,krk,,6,Štangel Marián,60
,,,,,,,,,,,,,,,3.,"MANAVI(FR), 5 val","61,0",ž. David Liška,3/4,,8,Blecha Jan,138
,,,,,,,,,,,,,,,4.,"WIRRWARR(GER), 8 hř","61,0",ž. Adam Florian,1/2,,1,Mihalík Marcel,66
,,,,,,,,,,,,,,,5.,"FALCON X, 5 hř","59,5",Petra Zedková,2 3/4,,7,Štangel Marián,37
,,,,,,,,,,,,,,,6.,"PARTNER IN CRIME(IRE), 4 val","55,0",ž. Michal Demo,1 1/4,,2,Demo Michal,168
