country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,2.,"ANDRAK(GER), 2","57,5",Tomáš Šmátrala,krk,,5,Czarniecki Piotr,0,,,,,,,,,,,
,,,,3.,"SUPRBLESK, 2","57,0",ž. Petr Kubík,1 1/2,,7,Morávková Jaroslava,0,,,,,,,,,,,
,,,,4.,"CABERNET, 2","54,5",am. Róbert Šara,2 1/4,,2,Šara Ludovít,0,,,,,,,,,,,
,,,,5.,"SALVEO, 2","53,5",Petra Výtisková,4 1/4,,4,Míček Milan,0,,,,,,,,,,,
,,,,6.,"VIOLA(SLO), 2","52,5",Zuzana Zálesňáková,2 1/4,,1,Hanáček Jaroslav,0,,,,,,,,,,,
,,,"7157 Handicap Czasa
Rovina III.kat. - 1200 m, handicap, 3letí a starší
55000 Sk (27500 - 12650 - 8250 - 3850 - 2750)
Zápisné: 0 + 0 Sk",7.,"VAŠKA(SLO), 2","52,5",am. Peter Hodáň,daleko,,3,Rosival Jozef,0,,,,,,,,,,,
,,,,1.,"CORTESSION(POL), 7","69,0",ž. Petr Kubík,JISTĚ,,8,Rosival Jozef,0,,,,,,,,,,,
,,,,2.,"SLOVAK GOLD(SLO), 3","51,5",am. Róbert Šara,2 1/4,,2,Sokol Samuel,0,,,,,,,,,,,
,,,,3.,"KAMILIA(GER), 4","57,5",Tomáš Šmátrala,1 1/2,,3,Czarniecki Piotr,0,,,,,,,,,,,
,,,,4.,"SZERSZEN(POL), 8","57,0",am. Peter Hodáň,hlava,,6,Lehocký Jozef,0,,,,,,,,,,,
,,,,5.,"TINCO PALENO(GER), 3","58,5",ž. Zdenko Šmida,4,,9,Sokol Samuel,0,,,,,,,,,,,
,,,,6.,"BRITHNEY(SLO), 5","57,0",am. V. Puchel,kr.hlava,,7,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,7.,"ORION(SLO), 3","53,5",Zuzana Zálesňáková,2,,1,Sokol Samuel,0,,,,,,,,,,,
,,,,8.,"IBISA, 4","51,0",Jiřina Andrésová,2 3/4,,4,Vymazal Josef,0,,,,,,,,,,,
,,,"7158 Cena grófa Jozefa Huňadyho
Rovina II.kat. - 1700 m, handicap, 3letí a starší
85000 Sk (42500 - 19550 - 12750 - 5950 - 4250)
Zápisné: 0 + 0 Sk",9.,"LAROUSSE(GER), 3","50,0",Petra Výtisková,1,,5,Bělka Martin,0,,,,,,,,,,,
,,,,1.,"ATROPIN(GER), 4","62,0",Martin Cagáň,JISTĚ,,12,Kalaš Pavel,0,,,,,,,,,,,
,,,,2.,"SANTA BOY, 4","50,0",Petra Výtisková,1,,10,Bělka Martin,0,,,,,,,,,,,
,,,,3.,"TINKI BOY(SLO), 3","51,0",am. Róbert Šara,7,,3,Šara Ludovít,0,,,,,,,,,,,
,,,,4.,"QUEEN IZABELL(SLO), 3","51,0",ž. Zdenko Šmida,hlava,,7,Kalaš Pavel,0,,,,,,,,,,,
,,,,5.,"DANCING THEATRE(IRE), 4","58,0",ž. Petr Kubík,nos,,2,Kalaš Pavel,0,,,,,,,,,,,
,,,,6.,"RAIN MAN(SLO), 4","51,0",Jana Kasalová,1,,6,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,7.,"DOUCE PARIS(GER), 4","57,0",Tomáš Šmátrala,1 1/4,,11,Sokol Samuel,0,,,,,,,,,,,
,,,,8.,"BABAR(POL), 6","51,0",Jiřina Andrésová,krk,,5,Svoboda Josef,0,,,,,,,,,,,
,,,,9.,"FORMENTA(GB), 4","51,0",Zuzana Zálesňáková,6,,13,Reindl Alexander,0,,,,,,,,,,,
,,,,10.,"SLOVAK DANCER(SLO), 5","59,0",ž. Jaroslav Línek,2 1/4,,1,Kalaš Pavel,0,,,,,,,,,,,
,,,,11.,"TORQUAY(POL), 6","60,0",Slavomír Šara,8,,4,Mrštík Michael,0,,,,,,,,,,,
,,,"7159 Cena Tauny
Proutky - - 3200 m, cena, 4letí a starší
55000 Sk (27500 - 12650 - 8250 - 3850 - 2750)
Zápisné: 0 + 0 Sk",12.,"BLITZ WIND(SLO), 3","50,0",am. Peter Hodáň,1 3/4,,8,Lehocký Jozef,0,,,,,,,,,,,
,,,,1.,"RAVENSWOOD(SLO), 5","70,0",ž. Jaroslav Línek,LEHCE,,3,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,2.,"CHERRY PIE(POL), 4","62,5",František Vávra,4 1/2,,10,Holčák František,0,,,,,,,,,,,
,,,,3.,"CYGNUS(POL), 5","66,0",žk. Rostislav Benš,8,,5,Wroblewska Iwona,0,,,,,,,,,,,
,,,,4.,"MILDRED, 4","63,5",am. Lukáš Neuvirt,krk,,11,Olehla Čestmír,0,,,,,,,,,,,
,,,,5.,"MALÁ MOŘSKÁ VÍLA, 5","64,5",Pavel Míča,1 3/4,,9,Ševčík Miroslav,0,,,,,,,,,,,
,,,,6.,"KINGS LATA, 6","64,5",Lukáš Matuský,daleko,,4,Vymazal Josef,0,,,,,,,,,,,
,,,,7.,"ALDMONA, 5","64,5",Miroslav Stančík,19,,8,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,ZN,"ZABALO(GER), 4","65,0",ž. Jaroslav Brečka,,,2,Mičánek Aleš,0,,,,,,,,,,,
,,,"7160 Odvetná cena-Cena Mojmíroviec-Urmína
Rovina I.kat. - 1800 m, cena, 2letí
125000 Sk (62500 - 31250 - 18750 - 12500 - 0)
Zápisné: 0 + 0 Sk",Z,"PESSIMIST(GER), 4","64,0",Martin Cagáň,,,7,Rosival Jozef,0,,,,,,,,,,,
,,,,1.,"RYAN(IRE), 2","59,0",ž. Zdenko Šmida,JISTĚ,,2,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,2.,"KOTERIA(POL), 2","56,0",ž. Petr Kubík,1 1/4,,5,Kalaš Pavel,0,,,,,,,,,,,
,,,,3.,"SÁRA(HUN), 2","56,0",am. Róbert Šara,5,,1,Šara Ludovít,0,,,,,,,,,,,
,,,,4.,"TRIAS(POL), 2","57,0",ž. František Vávra,1 3/4,,6,Holčák Radek,0,,,,,,,,,,,
,,,,5.,"GOLD STAR, 2","56,0",Zuzana Zálesňáková,4 1/2,,3,Sokol Samuel,0,,,,,,,,,,,
,,,,6.,"MARQU, 2","57,0",Slavomír Šara,4 1/2,,4,Kroutilík Jaroslav,0,,,,,,,,,,,
,,,"7161 Handicap Imky
Rovina IV.kat. - 1000 m, handicap, 3letí a starší
44000 Sk (22000 - 10120 - 6600 - 3080 - 2200)
Zápisné: 0 + 0 Sk",S,"ESRISK, 2","57,5",Tomáš Šmátrala,,,7,Votava Jaroslav,0,,,,,,,,,,,
,,,,1.,"TOUCH OF VENUS(IRE), 7","57,5",Tomáš Šmátrala,BOJ,,7,Czarniecki Piotr,0,,,,,,,,,,,
,,,,2.,"INDIGO BLUE(GER), 3","51,0",am. Róbert Šara,3/4,,4,Reindl Alexander,0,,,,,,,,,,,
,,,,3.,"AVANTI(HUN), 3","59,0",am. V. Puchel,hlava,,9,Végh Ludovít,0,,,,,,,,,,,
,,,,4.,"ERLKÖNIG(SLO), 9","61,0",am. Zuzana Hricová,hlava,,10,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,5.,"KAMARÁT(HUN), 9","60,5",ž. Zdenko Šmida,3/4,,1,Kalaš Pavel,0,,,,,,,,,,,
,,,,6.,"MAURBIG, 3","52,5",am. Peter Hodáň,3 1/2,,3,Reindl Alexander,0,,,,,,,,,,,
,,,,7.,"LADY DI(SLO), 3","55,0",am. Z. Magdinová,3/4,,5,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,8.,"RHODOPE, 4","51,0",Zuzana Zálesňáková,nos,,6,Sokol Samuel,0,,,,,,,,,,,
,,,,9.,"GOLDEN DREAM(SLO), 7","62,5",am. V. Břečková,1/2,,2,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,10.,"LIBERTÍNA(SLO), 3","58,0",ž. Petr Kubík,18,,11,Follaufová Patrícia,0,Výsledky ze dne 16.10.2005 - Bratislava (Slovensko),"7149 Cena Solarsterna
Rovina III.kat. - 1600 m, cena, 2letí
44000 Sk (22000 - 10120 - 6600 - 3080 - 2200)
Zápisné: 0 + 0 Sk",1.,"SÁRA(HUN), 2","55,5",am. Róbert Šara,BOJ,,4,Šara Ludovít,0
,,,,,,,,,,,,,,,2.,"ANGLICKÁ KRÁLOVNA, 2","56,5",Martina Havelková,hlava,,8,Holčák František,0
,,,,,,,,,,,,,,,3.,"KOTERIA(POL), 2","58,0",ž. Jaroslav Línek,1/2,,3,Kalaš Pavel,0
,,,,,,,,,,,,,,,4.,"IMMAN(SLO), 2","58,0",Tomáš Šmátrala,1 1/4,,6,Czarniecki Piotr,0
,,,,,,,,,,,,,,,5.,"BAGERA(POL), 2","58,0",ž. Petr Kubík,hlava,,7,Papanetzová Marcela,0
,,,,,,,,,,,,,,,6.,"CABERNET, 2","56,5",Slavomír Šara,5,,2,Šara Ludovít,0
,,,,,,,,,,,,,,,7.,"SHAGGY(SLO), 2","54,5",am. Peter Hodáň,12,,1,Lehocký Jozef,0
,,,,,,,,,,,,,,"7150 Cena Agrolipt s.r.o.Dubová
Rovina II.kat. - 1600 m, cena, 2letí
75000 Sk (37500 - 17250 - 11250 - 5250 - 3750)
Zápisné: 0 + 0 Sk",8.,"HANNI(SLO), 2","57,0",ž. Zdenko Šmida,1,,5,Cagáň Ján,0
,,,,,,,,,,,,,,,1.,"WALEXIA(SLO), 2","57,0",ž. Petr Kubík,TUHÝ BOJ,,6,Rosival Jozef,0
,,,,,,,,,,,,,,,2.,"TANITA(SVK), 2","58,0",ž. Zdenko Šmida,kr.hlava,,4,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,3.,"DEVIL(SLO), 2","57,0",am. Peter Hodáň,3 1/2,,7,Lehocký Jozef,0
,,,,,,,,,,,,,,,4.,"TIGER(SLO), 2","57,0",Slavomír Šara,1/2,,8,Šara Ludovít,0
,,,,,,,,,,,,,,,5.,"SANGRIA(SLO), 2","56,0",am. Róbert Šara,2 1/4,,1,Cagáň Ján,0
,,,,,,,,,,,,,,,6.,"LONG RIDGE(SLO), 2","57,0",Zuzana Zálesňáková,9,,2,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,7.,"IMAGIO(SLO), 2","57,5",Tomáš Šmátrala,6,,5,Czarniecki Piotr,0
,,,,,,,,,,,,,,,8.,"VLNKA(SLO), 2","57,0",ž. Jan Korpas,13,,9,Rosival Jozef,0
,,,,,,,,,,,,,,"7151 Handicap Noble Patriarcha
Rovina III.kat. - 2200 m, handicap, 3letí a starší
55000 Sk (27500 - 12650 - 8250 - 3850 - 2750)
Zápisné: 0 + 0 Sk",9.,"BAUSSYBEL(SLO), 2","57,0",ž. František Vávra,11,,3,Rosival Jozef,0
,,,,,,,,,,,,,,,1.,"WINCARA, 5","57,0",ž. Petr Kubík,TUHÝ BOJ,,11,Šara Ludovít,0
,,,,,,,,,,,,,,,2.,"LUMINOSO(SLO), 3","51,0",am. Róbert Šara,krk,,7,Czarniecki Piotr,0
,,,,,,,,,,,,,,,3.,"CHRISTINA(SLO), 3","51,0",ž. Zdenko Šmida,1/2,,10,Kalaš Pavel,0
,,,,,,,,,,,,,,,4.,"TINKI BOY(SLO), 3","59,0",Slavomír Šara,kr.hlava,,3,Šara Ludovít,0
,,,,,,,,,,,,,,,5.,"NICE(GER), 3","58,0",Zuzana Zálesňáková,1 3/4,,1,Sokol Samuel,0
,,,,,,,,,,,,,,,6.,"ILEX THE GREAT, 4","49,5",Martina Havelková,7,,5,Holčák František,0
,,,,,,,,,,,,,,,7.,"MALÁ MOŘSKÁ VÍLA, 5","51,5",Petra Výtisková,4,,12,Ševčík Miroslav,0
,,,,,,,,,,,,,,,8.,"OBLIGATA, 3","51,0",am. Peter Hodáň,1 1/2,,4,Vinklárek Antonín,0
,,,,,,,,,,,,,,,9.,"CASSANOVA DREAM(SLO), 4","57,5",Tomáš Šmátrala,10,,6,Reindl Alexander,0
,,,,,,,,,,,,,,,10.,"TAHIRA(POL), 3","53,5",Lucie Baluchová,1 1/4,,8,Kalaš Pavel,0
,,,,,,,,,,,,,,,11.,"ALPH(POL), 4","60,5",am. Zuzana Hricová,1 1/4,,2,Kalaš Pavel,0
,,,,,,,,,,,,,,"7152 Cena Víchora
Steeplechase - - 3600 m, cena, 4letí a starší
55000 Sk (27500 - 13750 - 8250 - 5500 - 0)
Zápisné: 0 + 0 Sk",12.,"CASSIAN(GB), 5","61,5",Adam Pekarovič,3/4,,9,Mičánek Aleš,0
,,,,,,,,,,,,,,,1.,"MONING LET(SLO), 4","61,0",Lucie Baluchová,V. LEHCE,,3,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,2.,"MILDRED, 4","66,0",ž. Jaroslav Brečka,6,,1,Olehla Čestmír,0
,,,,,,,,,,,,,,,3.,"RED BULL(SLO), 8","71,0",ž. Jaroslav Línek,1/2,,5,Kubovičová Zuzana,0
,,,,,,,,,,,,,,,4.,"MISSING(SLO), 8","69,0",am. Tomáš Lysý,2 1/4,,2,Lysý Tomáš,0
,,,,,,,,,,,,,,,5.,"SIR TIROL(IRE), 12","63,5",žk. Barbora Málková,3,,6,Ministr Antonín,0
,,,,,,,,,,,,,,"7153 Jesenná míla časopisu Moj dom
Rovina I.kat. - 1600 m, cena, 3letí a starší
120000 Sk (60000 - 27600 - 18000 - 8400 - 6000)
Zápisné: 0 + 0 Sk",Z,"HUCKLEBERRY, 8","70,0",Lukáš Sloup,,,4,Ministr Antonín,0
,,,,,,,,,,,,,,,1.,"NATTY DANCER, 3","58,5",ž. Jaroslav Línek,LEHCE,,9,Kalaš Pavel,0
,,,,,,,,,,,,,,,2.,"ATROPIN(GER), 4","60,0",am. Róbert Šara,3 1/2,,6,Kalaš Pavel,0
,,,,,,,,,,,,,,,3.,"DUBAI TOWER(USA), 5","60,0",ž. Zdenko Šmida,1/2,,7,Kalaš Pavel,0
,,,,,,,,,,,,,,,4.,"NEZBEDA, 3","58,5",Martina Havelková,1/2,,10,Holčák František,0
,,,,,,,,,,,,,,,5.,"YORK CITY, 4","58,5",ž. Jan Korpas,1 1/4,,5,Suchánek Martin,0
,,,,,,,,,,,,,,,6.,"WOLIX(SLO), 3","57,0",ž. Petr Kubík,1 1/2,,1,Rosival Jozef,0
,,,,,,,,,,,,,,,7.,"DOUCE PARIS(GER), 4","58,5",Tomáš Šmátrala,1 1/4,,2,Sokol Samuel,0
,,,,,,,,,,,,,,,8.,"FLY OVER(GER), 6","58,5",Zuzana Zálesňáková,9,,4,Sokol Samuel,0
,,,,,,,,,,,,,,,9.,"VIGO(SLO), 4","58,5",Slavomír Šara,krk,,11,Sokol Samuel,0
,,,,,,,,,,,,,,"7154 Handicap Lady Martialiny
Rovina IV.kat. - 1600 m, handicap, 3letí a starší
44000 Sk (22000 - 10120 - 6600 - 3080 - 2200)
Zápisné: 0 + 0 Sk",10.,"AVANTI(HUN), 3","57,0",ž. František Vávra,1 3/4,,3,Végh Ludovít,0
,,,,,,,,,,,,,,,1.,"ERLKÖNIG(SLO), 9","60,5",am. Zuzana Hricová,JISTĚ,,6,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,2.,"BRITHNEY(SLO), 5","62,5",am. V. Puchel,1,,4,Kubovičová Zuzana,0
,,,,,,,,,,,,,,,3.,"BLITZ WIND(SLO), 3","53,5",am. Peter Hodáň,1,,7,Lehocký Jozef,0
,,,,,,,,,,,,,,,4.,"WANESA(SLO), 5","54,5",Zuzana Zálesňáková,krk,,1,Sokol Samuel,0
,,,,,,,,,,,,,,,5.,"SHAKIRA(SLO), 3","51,0",am. Róbert Šara,2,,5,Matulíková A.,0
,,,,,,,,,,,,,,,6.,"KOLJA(SLO), 3","51,0",ž. Zdenko Šmida,2 3/4,,3,Rosival Jozef,0
,,,,,,,,,,,,,,,7.,"SHARP WIND(SLO), 3","59,0",ž. Petr Kubík,8,,8,Lehocký Jozef,0
,,,,,,,,,,,,,,"7155 Cena Moravy
Rovina V.kat. - 1800 m, cena, 3letí a starší
33000 Sk (16500 - 7590 - 4950 - 2310 - 1650)
Zápisné: 0 + 0 Sk",8.,"VYSNENÁ(SLO), 3","55,5",am. V. Břečková,4 3/4,,2,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,1.,"DEMETER, 4","57,5",Tomáš Šmátrala,ZADRŽENĚ,,3,Sokol Samuel,0
,,,,,,,,,,,,,,,2.,"SZKOT(POL), 3","58,0",Martina Havelková,5,,2,Kalaš Pavel,0
,,,,,,,,,,,,,,,3.,"LIBERTÍNA(SLO), 3","53,5",Lucie Baluchová,3 1/2,,8,Matulíková A.,0
,,,,,,,,,,,,,,,4.,"CONQUERER(GER), 3","57,0",ž. Petr Kubík,krk,,5,Sokol Samuel,0
,,,,,,,,,,,,,,,5.,"RICKY(GER), 4","56,0",Zuzana Zálesňáková,3/4,,12,Sokol Samuel,0
,,,,,,,,,,,,,,,6.,"NEBRASCA(GER), 4","58,5",ž. Zdenko Šmida,1 1/2,,4,Sokol Samuel,0
,,,,,,,,,,,,,,,7.,"CHANNAH(SLO), 7","55,0",am. Z. Magdinová,2 1/2,,11,Rosival Jozef,0
,,,,,,,,,,,,,,,8.,"PIBECIA, 5","56,5",am. Róbert Šara,3/4,,10,Šara Ludovít,0
,,,,,,,,,,,,,,,9.,"DAN PIERRE(SLO), 3","53,0",Petra Výtisková,2 1/4,,13,Reindl Alexander,0
,,,,,,,,,,,,,,,10.,"SAZBA, 3","55,5",am. V. Břečková,nos,,9,Hanáček Jaroslav,0
,,,,,,,,,,,,,,,11.,"CONSTANTINO(FR), 5","56,5",Slavomír Šara,3/4,,6,Végh Ludovít,0
,,,,,,,,,,,,,,,12.,"BURUNDI(SLO), 9","56,0",am. Michal Pacholský,3/4,,1,,0
,2004,Výsledky ze dne 30.10.2004 - Bratislava (Slovensko),"1. dostih, start 13:01
7162 Cena Grand Unita
Rovina III.kat. - 1400 m, cena, 2letí
44000 Sk (22000 - 10120 - 6600 - 3080 - 2200)
Zápisné: 0 + 0 Sk",1.,"RENAISSANCE, 2","57,0",ž. Roman Mališka,LEHCE,,4,Sokol Samuel,0,,,13.,"LADY SHEE(SLO), 3","50,5",am. Zuzana Hricová,17,,14,Reindl Alexander,0
,,,,2.,"DRAGONIA(POL), 2","56,0",ž. Petr Kubík,2 1/2,,2,Kalaš Pavel,0,,,,,,,,,,,
,,,,3.,"PTÁK OHNIVÁK, 2","57,0",ž. Martin Srnec,1 1/4,,3,Suchánek Martin,0,,,,,,,,,,,
,,,,4.,"FLAVIUS(SLO), 2","57,0",Tomáš Šmátrala,3 1/2,,7,Reindl Alexander,0,,,,,,,,,,,
,,,,4.,"NESTROY(GER), 2","58,0",ž. Jaroslav Línek,současně,,8,Sokol Samuel,0,,,,,,,,,,,
,,,,6.,"OK-TANGO(HUN), 2","57,0",Piotr Krowicki,3/4,,5,Tugušev Ramazan,0,,,,,,,,,,,
,,,,7.,"NICE(GER), 2","52,5",žk. Zuzana Zálesňáková,současně,,9,Sokol Samuel,0,,,,,,,,,,,
,,,,7.,"SAZBA, 2","54,5",am. Slavomír Šara,hlava,,1,Hanáček Jaroslav,0,,,,,,,,,,,
,,,"2. dostih, start 13:57
7163 Cena Czasa (2.odd.)
Rovina III.kat. - 1400 m, cena, 2letí
44000 Sk (22000 - 10120 - 6600 - 3080 - 2200)
Zápisné: 0 + 0 Sk",9.,"THESEUS(SLO), 2","57,0",ž. Zdenko Šmida,hlava,,6,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,1.,"NATTY DANCER, 2","57,0",ž. Roman Mališka,ZADRŽENĚ,,2,Kalaš Pavel,0,,,,,,,,,,,
,,,,2.,"SELANDINA(GER), 2","56,0",ž. Zdenko Šmida,10,,1,Sokol Samuel,0,,,,,,,,,,,
,,,,3.,"DWICKLY(GER), 2","57,0",Tomáš Šmátrala,2 1/4,,3,Sokol Samuel,0,,,,,,,,,,,
,,,,4.,"MISS MAY(HUN), 2","56,0",O. Šapovalov,2,,7,Tugušev Ramazan,0,,,,,,,,,,,
,,,,5.,"LADY DI(SLO), 2","56,0",ž. Petr Kubík,1 1/2,,5,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,6.,"SANTIAGO(SLO), 2","58,0",ž. Dušan Andrés,2 1/2,,9,Rosival Jozef,0,,,,,,,,,,,
,,,,7.,"ESPAGNOLA(GER), 2","51,5",am. Róbert Šara,4 3/4,,4,Sokol Samuel,0,,,,,,,,,,,
,,,,8.,"MAURBIG, 2","56,0",am. Štefan Budovič,5,,6,Reindl Alexander,0,,,,,,,,,,,
,,,"3. dostih, start 14:31
7164 Cena grófa Huňadyho
Rovina II.kat. - 1600 m, cena, 3letí a starší
85000 Sk (42500 - 19550 - 12750 - 5950 - 4250)
Zápisné: 0 + 0 Sk",9.,"BARMAN(SLO), 2","54,5",am. Slavomír Šara,9,,8,Tugušev Ramazan,0,,,,,,,,,,,
,,,,1.,"INVESTOR, 4","60,0",ž. Dušan Andrés,LEHCE,,3,Morávková Jaroslava,0,,,,,,,,,,,
,,,,2.,"DOUCE PARIS(GER), 3","58,5",ž. Zdenko Šmida,4 1/4,,11,Sokol Samuel,0,,,,,,,,,,,
,,,,3.,"CATHY DANCER, 3","55,0",ž. Ferdinand Minařík 2,1 3/4,,13,Koplík Zdeno,0,,,,,,,,,,,
,,,,4.,"ALPHA MILLENNIUM(GER), 4","60,0",ž. Iva Miličková,krk,,8,Vondrová Lucie,0,,,,,,,,,,,
,,,,5.,"ZARIJA(SLO), 4","58,5",ž. Petr Kubík,2 1/2,,6,Papanetzová Marcela,0,,,,,,,,,,,
,,,,6.,"MALÁ MOŘSKÁ VÍLA, 4","60,5",žk. Pavel Míča,2,,4,Ševčík Miroslav,0,,,,,,,,,,,
,,,,7.,"VAKACIUS, 3","56,5",Jaromír Šafář,hlava,,5,Rosina Jozef,0,,,,,,,,,,,
,,,,8.,"SOREYAN(SLO), 3","56,5",Piotr Krowicki,krk,,12,Tugušev Ramazan,0,,,,,,,,,,,
,,,,9.,"CHANNAH(SLO), 6","58,5",ž. Martin Srnec,2 1/4,,1,Rosival Jozef,0,,,,,,,,,,,
,,,,10.,"AKSAMITKA(POL), 3","55,0",žk. Zuzana Zálesňáková,3/4,,2,Sokol Samuel,0,,,,,,,,,,,
,,,,11.,"RED FLOWER, 4","59,5",ž. Roman Mališka,1 1/4,,9,Sokol Samuel,0,,,,,,,,,,,
,,,,12.,"ANABASS(FR), 5","59,0",ž. Jaroslav Línek,3,,7,Hanáček Jaroslav,0,,,,,,,,,,,
,,,"4. dostih, start 15:05
7165 Odvetná cena - Cena Mojmíroviec - Urmína
Rovina I.kat. - 1800 m, cena, 2letí
125000 Sk (62500 - 28750 - 18750 - 8750 - 6250)
Zápisné: 0 + 0 Sk",13.,"OLGA DIE GROSSE(GER), 7","57,0",Tomáš Šmátrala,2 1/2,,10,Sokol Samuel,0,,,,,,,,,,,
,,,,1.,"ARYMAN(POL), 2","58,0",ž. Jaroslav Línek,JISTĚ,,10,Seménka Zdeněk,0,,,,,,,,,,,
,,,,2.,"MIDEROS, 2","57,0",ž. Zdenko Šmida,2 1/2,,3,Dohnálek Roman,0,,,,,,,,,,,
,,,,3.,"SANKT MORITZ(POL), 2","57,0",ž. Radek Koplík,2,,7,Holčák František,0,,,,,,,,,,,
,,,,4.,"VACARIA, 2","56,0",ž. Petr Kubík,2 3/4,,1,Kalaš Pavel,0,,,,,,,,,,,
,,,,5.,"SZKOT(POL), 2","57,0",ž. Roman Mališka,2,,5,Kalaš Pavel,0,,,,,,,,,,,
,,,,6.,"CROMWEL, 2","57,0",Jaromír Šafář,4 3/4,,6,Piruch Jozef,0,,,,,,,,,,,
,,,,7.,"TATARSTAN(SLO), 2","57,0",Piotr Krowicki,hlava,,9,Tugušev Ramazan,0,,,,,,,,,,,
,,,,8.,"AGENT JAMES BOND, 2","57,0",ž. Martin Srnec,kr.hlava,,8,Suchánek Martin,0,,,,,,,,,,,
,,,,9.,"DANCING WIND(SLO), 2","57,0",am. Štefan Budovič,1/2,,4,Lehocký Jozef,0,,,,,,,,,,,
,,,,10.,"LADY MINNESOTA(SLO), 2","56,0",ž. Ferdinand Minařík 2,10,,2,Hanáček Jaroslav,0,,,,,,,,,,,
,,,"5. dostih, start 15:32
7166 Handicap Tabuho
Rovina III.kat. - 1000 m, handicap, 3letí a starší
55000 Sk (27500 - 12650 - 8250 - 3850 - 2750)
Zápisné: 0 + 0 Sk",S,"DAQUAN(POL), 2","57,0",Žaneta Krelíková,,,11,Olehla Čestmír,0,,,,,,,,,,,
,,,,1.,"MARIE ANNA(FR*), 5","51,5",am. Leona Hloužková,JISTĚ,,8,Pulka David,0,,,,,,,,,,,
,,,,2.,"MICHELINKA, 5","62,5",žk. Ingrid Koplíková,1 1/2,,6,Koplík Zdeno,0,,,,,,,,,,,
,,,,3.,"HARMONY DANCER(SLO), 3","48,0",am. Róbert Šara,1 1/4,,4,Kubovičová Zuzana,0,,,,,,,,,,,
,,,,4.,"ROYAL STAR(SLO), 8","63,5",am. Štefan Budovič,1 1/2,,7,Sokol Samuel,0,,,,,,,,,,,
,,,,5.,"FORMENTA(GB), 3","59,0",Tomáš Šmátrala,3/4,,5,Sokol Samuel,0,,,,,,,,,,,
,,,,6.,"VIVIKA(SLO), 5","50,0",žk. Zuzana Zálesňáková,1,,3,Sokol Samuel,0,,,,,,,,,,,
,,,,7.,"KAMARÁT(HUN), 8","55,0",ž. Zdenko Šmida,1 1/2,,2,Kalaš Pavel,0,,,,,,,,,,,
,,,"6. dostih, start 16:00
7167 Handicap Imky
Rovina IV.kat. - 1150 m, handicap, 3letí a starší
44000 Sk (22000 - 10120 - 6600 - 3080 - 2200)
Zápisné: 0 + 0 Sk",8.,"SAMURAJ, 4","57,0",am. Miloslava Sedláková,2 3/4,,1,Holčák František,0,,,,,,,,,,,
,,,,1.,"WINCARA, 4","57,0",ž. Zdenko Šmida,LEHCE,,3,Šara Ludovít,0,,,,,,,,,,,
,,,,2.,"SZERSZEN(POL), 7","63,0",am. Štefan Budovič,5,,10,Lehocký Jozef,0,,,,,,,,,,,
,,,,3.,"CLODINE(GER), 3","57,0",ž. Roman Mališka,krk,,6,Sokol Samuel,0,,,,,,,,,,,
,,,,4.,"RAYMOND(SLO), 3","49,5",am. Róbert Šara,1 3/4,,9,Sokol Samuel,0,,,,,,,,,,,
,,,,5.,"VICTORIA(SLO), 4","51,0",žk. Zuzana Zálesňáková,krk,,8,Sokol Samuel,0,,,,,,,,,,,
,,,,6.,"GOLDEN DREAM(SLO), 6","60,0",am. V. Břečková,2,,7,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,7.,"WAVERUNNER(GER), 8","54,0",am. A. Chynoradská,2,,1,Hanáček Jaroslav,0,,,,,,,,,,,
,,,,8.,"WANESA(SLO), 4","63,5",Tomáš Šmátrala,4,,5,Sokol Samuel,0,,,,,,,,,,,
